market,origin,model,seed,credit_mode,locked_rankic_baseline,locked_net_sharpe_baseline,locked_annualized_net_return_baseline,sgg_baseline,certified_count_baseline,prompt_tokens_baseline,completion_tokens_baseline,parse_fallbacks_baseline,prompt_variant_baseline,candidate_count_baseline,unique_candidates_baseline,mean_redundancy_baseline,feature_coverage_baseline,prompt_calls_baseline,semantic_compliant_calls_baseline,locked_rankic_semantic,locked_net_sharpe_semantic,locked_annualized_net_return_semantic,sgg_semantic,certified_count_semantic,prompt_tokens_semantic,completion_tokens_semantic,parse_fallbacks_semantic,prompt_variant_semantic,candidate_count_semantic,unique_candidates_semantic,mean_redundancy_semantic,feature_coverage_semantic,prompt_calls_semantic,semantic_compliant_calls_semantic,delta_locked_rankic,delta_locked_net_sharpe,delta_locked_annualized_net_return,delta_sgg,delta_certified_count,delta_prompt_tokens,delta_completion_tokens,delta_parse_fallbacks,delta_mean_redundancy,delta_feature_coverage,delta_prompt_calls,delta_semantic_compliant_calls
csi1000,4,gpt-5.4,2026083001,evidence,0.0480456847115932,0.5513626444700871,0.0526397497208403,3.6851514292822936,0,3633,2125,0,baseline,250,250,0.7495998470986753,26,4,0,0.02908386601985729,-0.6689092344381625,-0.0634670698279013,-0.39989501490722335,0,4776,2646,0,semantic_measurement,250,250,0.7664811376383869,26,4,4,-0.01896181869173591,-1.2202718789082496,-0.11610681954874161,-4.085046444189517,0,1143,521,0,0.016881290539711546,0,0,4
csi1000,4,gpt-5.4,2026083002,evidence,-0.052020521741388534,-2.0491651485075324,-0.17827413533151473,-5.077492681126849,0,3697,2133,0,baseline,250,250,0.7724510661519867,26,4,0,0.01174285923913906,-1.0961505173781165,-0.09801910469663522,-2.547899752600342,0,4489,2457,0,semantic_measurement,250,250,0.7496325791009986,26,4,4,0.0637633809805276,0.9530146311294159,0.08025503063487952,2.5295929285265064,0,792,324,0,-0.0228184870509881,0,0,4
csi1000,4,gpt-5.4,2026083003,evidence,0.05060632911816577,-0.895396906994978,-0.07750621955334396,5.3075152686520575,0,3663,2199,0,baseline,250,250,0.7361257793350741,26,4,0,0.05043406880868623,-0.21948303220911847,-0.020137045729191966,6.214551156514879,0,5035,2768,0,semantic_measurement,250,250,0.7414661303171358,26,4,4,-0.00017226030947953969,0.6759138747858595,0.05736917382415199,0.907035887862822,0,1372,569,0,0.005340350982061759,0,0,4
csi1000,4,gpt-5.4,2026083004,evidence,-0.008735047803581907,-0.9775513085371877,-0.08168899801303889,-3.342295509726858,0,4279,2604,0,baseline,250,250,0.7467930574193822,26,4,0,0.053046024031257175,0.5203672658992443,0.05062652339965773,5.300026653782458,0,4643,2619,0,semantic_measurement,250,250,0.7388709889253091,26,4,4,0.06178107183483908,1.497918574436432,0.13231552141269662,8.642322163509316,0,364,15,0,-0.007922068494073065,0,0,4
csi1000,4,gpt-5.4,2026083005,evidence,0.06105803206267816,0.34046854800203546,0.03910902263764384,2.1691823556946064,0,3520,2045,0,baseline,250,250,0.7435021930102573,26,4,0,0.05122930256335688,0.5443629399209499,0.052818125668551985,6.029324411163326,0,4900,2732,0,semantic_measurement,250,250,0.7305382520447505,26,4,4,-0.00982872949932128,0.2038943919189144,0.013709103030908144,3.86014205546872,0,1380,687,0,-0.012963940965506793,0,0,4
csi500,4,gpt-5.4,2026083001,evidence,-0.035956330676814516,-1.459010298691651,-0.1321845989462781,-12.959982405265917,0,7792,3253,0,baseline,250,250,0.7751110583802187,26,6,0,-0.03786654544183803,-1.7183378835939687,-0.14852330009874856,-11.946189912395045,0,9955,3964,0,semantic_measurement,250,250,0.7631759565408737,26,6,6,-0.0019102147650235171,-0.25932758490231755,-0.016338701152470464,1.0137924928708717,0,2163,711,0,-0.011935101839344986,0,0,6
csi500,4,gpt-5.4,2026083002,evidence,-0.041187818301424206,-2.5277008851206273,-0.21627276491075476,0.45146090049384924,0,8844,3678,0,baseline,250,250,0.7613140159723661,26,6,0,0.035367736416289486,-1.8434449107979922,-0.15514026101791073,-0.04034954713476324,0,10246,3931,0,semantic_measurement,250,250,0.7699536463700705,26,6,6,0.07655555471771369,0.6842559743226351,0.061132503892844026,-0.4918104476286125,0,1402,253,0,0.008639630397704323,0,0,6
csi500,4,gpt-5.4,2026083003,evidence,0.01680250004073034,-1.6588840803189429,-0.12709846765783936,-7.001922415796598,0,7660,3143,0,baseline,250,250,0.778875579849567,26,6,0,0.028246460152102967,-1.9788668967578804,-0.16467948105851316,11.299117340376881,0,10444,4045,0,semantic_measurement,250,250,0.7574799924511223,26,6,6,0.011443960111372626,-0.31998281643893756,-0.037581013400673796,18.30103975617348,0,2784,902,0,-0.021395587398444715,0,0,6
csi500,4,gpt-5.4,2026083004,evidence,0.0023063909033629623,-0.7454415162242952,-0.05391196226131132,5.595708743332124,0,9015,3762,0,baseline,250,250,0.7474715239171528,26,6,0,0.003062694722927125,-0.758677724636736,-0.054676420790661096,5.547829313432884,0,9561,3645,0,semantic_measurement,250,250,0.7497455714936632,26,6,6,0.0007563038195641629,-0.013236208412440775,-0.0007644585293497749,-0.04787942989923977,0,546,-117,0,0.0022740475765103962,0,0,6
csi500,4,gpt-5.4,2026083005,evidence,0.02314461008825045,-0.5173805754110989,-0.03882951002277247,-2.6966085718096724,0,8667,3577,0,baseline,250,250,0.7530580012636958,26,6,0,-0.04243670043733504,-1.9292558871140033,-0.16256466049405413,-10.342303109653052,0,9987,3900,0,semantic_measurement,250,250,0.7641089194890346,26,6,6,-0.0655813105255855,-1.4118753117029044,-0.12373515047128167,-7.645694537843379,0,1320,323,0,0.011050918225338768,0,0,6
sp500,4,gpt-5.4,2026083001,evidence,0.006736228672385032,-0.7439422144332523,-0.0380170503653183,-5.353680503273065,0,7466,3101,0,baseline,250,250,0.7847024359499418,26,6,0,-0.01011811027283367,-1.972768644919532,-0.15777238663612275,1.6964016140253215,0,10423,3983,0,semantic_measurement,250,250,0.7676257537380641,26,6,6,-0.016854338945218702,-1.2288264304862797,-0.11975533627080445,7.050082117298386,0,2957,882,0,-0.017076682211877747,0,0,6
sp500,4,gpt-5.4,2026083002,evidence,0.01046009159225539,-0.004264471859562119,-0.00036831232556917197,-1.6289353394694919,0,8123,3469,0,baseline,250,250,0.7642688006018532,26,6,0,-0.008570761200338412,-1.6263012082216521,-0.1229822741013537,1.9849768479439458,0,11641,4648,0,semantic_measurement,250,250,0.7773162557123455,26,6,6,-0.019030852792593804,-1.62203673636209,-0.12261396177578453,3.6139121874134377,0,3518,1179,0,0.013047455110492323,0,0,6
sp500,4,gpt-5.4,2026083003,evidence,-0.00959980898662015,-1.662462522772551,-0.13438595758650135,1.6225465273831685,0,7489,3065,0,baseline,250,250,0.7756695560849667,26,6,0,-0.006597972497359767,-3.5238936056091936,-0.24834748098388262,3.1178944166770313,0,10993,4427,0,semantic_measurement,250,250,0.7612201746753035,26,6,6,0.003001836489260383,-1.8614310828366427,-0.11396152339738128,1.4953478892938628,0,3504,1362,0,-0.014449381409663231,0,0,6
sp500,4,gpt-5.4,2026083004,evidence,-0.012880307178765406,-1.709596866869648,-0.1406297322522592,1.7089232630638824,0,7926,3400,0,baseline,250,250,0.7656530125080387,26,6,0,0.00442441698618828,-0.4658985641937143,-0.02926150224689302,-0.5844414644805732,0,11404,4554,0,semantic_measurement,250,250,0.7717975368581581,26,6,6,0.017304724164953687,1.2436983026759336,0.11136823000536616,-2.2933647275444558,0,3478,1154,0,0.0061445243501193625,0,0,6
sp500,4,gpt-5.4,2026083005,evidence,0.005650581375509687,-1.5894464862894304,-0.10425915654877624,0.3364079084260623,0,8055,3415,0,baseline,250,250,0.7707690835510518,26,6,0,-0.010856034120549817,-2.077347850486624,-0.17165826101188175,2.440141887966211,0,10840,4286,0,semantic_measurement,250,250,0.7538592055349875,26,6,6,-0.016506615496059505,-0.48790136419719343,-0.06739910446310551,2.1037339795401486,0,2785,871,0,-0.01690987801606425,0,0,6
