market,origin,model,seed,credit_mode,locked_rankic,locked_net_sharpe,locked_annualized_net_return,sgg,certified_count,prompt_tokens,completion_tokens,parse_fallbacks,prompt_variant,candidate_count,unique_candidates,mean_redundancy,feature_coverage,prompt_calls,semantic_compliant_calls
csi1000,4,gpt-5.4,2026083001,evidence,0.0480456847115932,0.5513626444700871,0.0526397497208403,3.6851514292822936,0,3633,2125,0,baseline,250,250,0.7495998470986753,26,4,0
csi1000,4,gpt-5.4,2026083002,evidence,-0.052020521741388534,-2.0491651485075324,-0.17827413533151473,-5.077492681126849,0,3697,2133,0,baseline,250,250,0.7724510661519867,26,4,0
csi1000,4,gpt-5.4,2026083003,evidence,0.05060632911816577,-0.895396906994978,-0.07750621955334396,5.3075152686520575,0,3663,2199,0,baseline,250,250,0.7361257793350741,26,4,0
csi1000,4,gpt-5.4,2026083004,evidence,-0.008735047803581907,-0.9775513085371877,-0.08168899801303889,-3.342295509726858,0,4279,2604,0,baseline,250,250,0.7467930574193822,26,4,0
csi1000,4,gpt-5.4,2026083005,evidence,0.06105803206267816,0.34046854800203546,0.03910902263764384,2.1691823556946064,0,3520,2045,0,baseline,250,250,0.7435021930102573,26,4,0
csi500,4,gpt-5.4,2026083001,evidence,-0.035956330676814516,-1.459010298691651,-0.1321845989462781,-12.959982405265917,0,7792,3253,0,baseline,250,250,0.7751110583802187,26,6,0
csi500,4,gpt-5.4,2026083002,evidence,-0.041187818301424206,-2.5277008851206273,-0.21627276491075476,0.45146090049384924,0,8844,3678,0,baseline,250,250,0.7613140159723661,26,6,0
csi500,4,gpt-5.4,2026083003,evidence,0.01680250004073034,-1.6588840803189429,-0.12709846765783936,-7.001922415796598,0,7660,3143,0,baseline,250,250,0.778875579849567,26,6,0
csi500,4,gpt-5.4,2026083004,evidence,0.0023063909033629623,-0.7454415162242952,-0.05391196226131132,5.595708743332124,0,9015,3762,0,baseline,250,250,0.7474715239171528,26,6,0
csi500,4,gpt-5.4,2026083005,evidence,0.02314461008825045,-0.5173805754110989,-0.03882951002277247,-2.6966085718096724,0,8667,3577,0,baseline,250,250,0.7530580012636958,26,6,0
sp500,4,gpt-5.4,2026083001,evidence,0.006736228672385032,-0.7439422144332523,-0.0380170503653183,-5.353680503273065,0,7466,3101,0,baseline,250,250,0.7847024359499418,26,6,0
sp500,4,gpt-5.4,2026083002,evidence,0.01046009159225539,-0.004264471859562119,-0.00036831232556917197,-1.6289353394694919,0,8123,3469,0,baseline,250,250,0.7642688006018532,26,6,0
sp500,4,gpt-5.4,2026083003,evidence,-0.00959980898662015,-1.662462522772551,-0.13438595758650135,1.6225465273831685,0,7489,3065,0,baseline,250,250,0.7756695560849667,26,6,0
sp500,4,gpt-5.4,2026083004,evidence,-0.012880307178765406,-1.709596866869648,-0.1406297322522592,1.7089232630638824,0,7926,3400,0,baseline,250,250,0.7656530125080387,26,6,0
