status,truth_label,run_class,run_id,protocol_hash,code_hash,data_hash,market,origin,model,prompt_variant,seed,credit_mode,ablation,budget,candidate_count,unique_count,certified_count,selected_id,selected_adaptation_proxy_t,selected_adaptation_t,selected_sgg,prompt_tokens,completion_tokens,certified_per_million_tokens,parse_fallbacks,elapsed_seconds,origin_contract__origin,origin_contract__warm_start,origin_contract__warm_end,origin_contract__evidence_start,origin_contract__evidence_end,origin_contract__locked_start,origin_contract__locked_end,adaptation__pearson_ic,adaptation__rankic,adaptation__icir,adaptation__locked_t,adaptation__annualized_net_return,adaptation__net_sharpe,adaptation__max_drawdown,adaptation__turnover,adaptation__downside_deviation,locked__pearson_ic,locked__rankic,locked__icir,locked__locked_t,locked__annualized_net_return,locked__net_sharpe,locked__max_drawdown,locked__turnover,locked__downside_deviation
complete,exploratory retrospective semantic-prompt pilot - baseline arm - execution smoke only,exploratory,csi1000__origin4__gpt-5.4__2026083001__evidence__full__M250,0ade13cb43b3aa6843d4b95bbb9eed04a9fb80503b9bc7f13bdbea12e922294b,234cc00eeb85ab93698e92d5c7a8dc6dae5781113bb00f7f366e32df9686e469,c082199ac72edc52b163b8977ad8340e55da30962bb177fc1873ee79e83c57b3,csi1000,4,gpt-5.4,baseline,2026083001,evidence,full,250,250,250,0,2c7255b6995fbd0ce53c134b29316f1b490d30f605d12308cf576ef13514c789,10.122905591898654,10.20350543899772,3.6851514292822936,3633,2125,0.0,0,79.96308779716492,4,2014,2018,2019,2022,2023,2025,0.024308227173563547,0.0480220039571251,5.516911761104751,10.20350543899772,0.1735926264384516,2.797405191673897,-0.051318322293867125,0.13041467004401275,0.060112907474619795,0.010026131717639247,0.0480456847115932,3.8563102375963747,6.518354009715426,0.0526397497208403,0.5513626444700871,-0.0873974570333178,0.1378514136808614,0.09406086902132292
complete,exploratory retrospective semantic-prompt pilot - baseline arm - execution smoke only,exploratory,csi1000__origin4__gpt-5.4__2026083002__evidence__full__M250,0ade13cb43b3aa6843d4b95bbb9eed04a9fb80503b9bc7f13bdbea12e922294b,234cc00eeb85ab93698e92d5c7a8dc6dae5781113bb00f7f366e32df9686e469,c082199ac72edc52b163b8977ad8340e55da30962bb177fc1873ee79e83c57b3,csi1000,4,gpt-5.4,baseline,2026083002,evidence,full,250,250,250,0,3c1b95f7fca82917540972fb99b44218ff5de6fe44c679733c081d275b6a4137,-2.5410442292022934,-13.527029162457303,-5.077492681126849,3697,2133,0.0,0,74.540043592453,4,2014,2018,2019,2022,2023,2025,-0.021730519344135463,-0.06069407820763668,-7.313900769233895,-13.527029162457303,-0.23298775642048464,-3.5235397863090605,-0.6169184787318895,0.31293277779979123,0.0792189611168189,-0.012147751646073271,-0.052020521741388534,-4.998813195376176,-8.449536481330455,-0.17827413533151473,-2.0491651485075324,-0.4188834401053899,0.3624447389609284,0.09002906364225637
complete,exploratory retrospective semantic-prompt pilot - baseline arm - execution smoke only,exploratory,csi1000__origin4__gpt-5.4__2026083003__evidence__full__M250,0ade13cb43b3aa6843d4b95bbb9eed04a9fb80503b9bc7f13bdbea12e922294b,234cc00eeb85ab93698e92d5c7a8dc6dae5781113bb00f7f366e32df9686e469,c082199ac72edc52b163b8977ad8340e55da30962bb177fc1873ee79e83c57b3,csi1000,4,gpt-5.4,baseline,2026083003,evidence,full,250,250,250,0,ff05cb19ca9bcd3f389d2f420656ea322a674f9d96d18888fc1b39ba0d48432b,7.336521577419194,13.38427319345092,5.3075152686520575,3663,2199,0.0,0,72.56291937828064,4,2014,2018,2019,2022,2023,2025,0.024997764189839386,0.06609458276762578,7.236714346480678,13.38427319345092,0.0052338761610173975,0.06923024491932588,-0.17707793667792182,0.5729442381186726,0.07765921737505832,0.010701438584512057,0.05060632911816577,4.778274427189216,8.076757924798862,-0.07750621955334396,-0.895396906994978,-0.21262730471968538,0.6479255706899696,0.08594703773446989
complete,exploratory retrospective semantic-prompt pilot - baseline arm - execution smoke only,exploratory,csi1000__origin4__gpt-5.4__2026083004__evidence__full__M250,0ade13cb43b3aa6843d4b95bbb9eed04a9fb80503b9bc7f13bdbea12e922294b,234cc00eeb85ab93698e92d5c7a8dc6dae5781113bb00f7f366e32df9686e469,c082199ac72edc52b163b8977ad8340e55da30962bb177fc1873ee79e83c57b3,csi1000,4,gpt-5.4,baseline,2026083004,evidence,full,250,250,250,0,aa767a421c4d8d5fb4eb43eaec6fcb4415e01f61dae4e045d0b6367ab5f17824,-4.676072755262877,-4.620263995111958,-3.342295509726858,4279,2604,0.0,0,72.81218647956848,4,2014,2018,2019,2022,2023,2025,-0.013088729203912273,-0.02345434042670651,-2.498120761186736,-4.620263995111958,-0.11170463952392784,-1.6974442544026742,-0.38637957134997525,0.2973467872784824,0.06946138558808888,-0.0004917670509459891,-0.008735047803581907,-0.7560563519825225,-1.2779684853850997,-0.08168899801303889,-0.9775513085371877,-0.234212595466887,0.3397047398818864,0.08474391046859257
complete,exploratory retrospective semantic-prompt pilot - baseline arm - execution smoke only,exploratory,csi1000__origin4__gpt-5.4__2026083005__evidence__full__M250,0ade13cb43b3aa6843d4b95bbb9eed04a9fb80503b9bc7f13bdbea12e922294b,234cc00eeb85ab93698e92d5c7a8dc6dae5781113bb00f7f366e32df9686e469,c082199ac72edc52b163b8977ad8340e55da30962bb177fc1873ee79e83c57b3,csi1000,4,gpt-5.4,baseline,2026083005,evidence,full,250,250,250,0,b6712e8ef8c5696e2edaf44149862f519dde906c11ac1b7bec52a304c471c125,10.694897980217835,9.056500429758861,2.1691823556946064,3520,2045,0.0,0,70.53025507926941,4,2014,2018,2019,2022,2023,2025,0.013655998426532093,0.05209774647963347,4.896740050181695,9.056500429758861,0.08899210371103074,1.231437645055325,-0.09440874482119421,0.1627513705563946,0.0751791099505966,0.010317450136602426,0.06105803206267816,4.074592321774812,6.887318074064255,0.03910902263764384,0.34046854800203546,-0.11282628317212295,0.16616537697199318,0.11481715142281503
complete,exploratory retrospective semantic-prompt pilot - baseline arm - execution smoke only,exploratory,csi500__origin4__gpt-5.4__2026083001__evidence__full__M250,0ade13cb43b3aa6843d4b95bbb9eed04a9fb80503b9bc7f13bdbea12e922294b,234cc00eeb85ab93698e92d5c7a8dc6dae5781113bb00f7f366e32df9686e469,504caef6108edf104e22cff547ff1b38442c3e92eb686ff0118937d9b7b16759,csi500,4,gpt-5.4,baseline,2026083001,evidence,full,250,250,250,0,ffdf11ac06965b720f05ce593b1077f1c1cb76e5f06751a73e63d8e9093058fb,-20.42337709577013,-18.067768419292438,-12.959982405265917,7792,3253,0.0,0,95.48651146888733,4,2010,2016,2017,2022,2023,2025,-0.022381714892659624,-0.07066486259873142,-7.003872871243625,-18.067768419292438,-0.2976050842543851,-3.7540342355152627,-0.8665369913180017,0.5587087327068669,0.08465616587396912,-0.0011931981331776904,-0.035956330676814516,-3.021806957398127,-5.107786014026521,-0.1321845989462781,-1.459010298691651,-0.35334181197447356,0.5285051777544949,0.09681146846327043
complete,exploratory retrospective semantic-prompt pilot - baseline arm - execution smoke only,exploratory,csi500__origin4__gpt-5.4__2026083002__evidence__full__M250,0ade13cb43b3aa6843d4b95bbb9eed04a9fb80503b9bc7f13bdbea12e922294b,234cc00eeb85ab93698e92d5c7a8dc6dae5781113bb00f7f366e32df9686e469,504caef6108edf104e22cff547ff1b38442c3e92eb686ff0118937d9b7b16759,csi500,4,gpt-5.4,baseline,2026083002,evidence,full,250,250,250,0,4b1ca3b4b36bb739ed90bd212a77c66b17ce1de6040b16e1aa3f1cf48f943900,-6.598860635433507,-5.279810822049625,0.45146090049384924,8844,3678,0.0,0,87.34557604789734,4,2010,2016,2017,2022,2023,2025,0.014015145294525336,-0.01747585146851714,-2.046690156951881,-5.279810822049625,-0.14894294949139747,-2.317631482260239,-0.6618765346063096,0.9344890804901667,0.06312495634598314,-0.00456003955013528,-0.041187818301424206,-3.3906660769189965,-5.731271722543474,-0.21627276491075476,-2.5277008851206273,-0.49170743501094627,0.9256939529544778,0.08690267228794885
complete,exploratory retrospective semantic-prompt pilot - baseline arm - execution smoke only,exploratory,csi500__origin4__gpt-5.4__2026083003__evidence__full__M250,0ade13cb43b3aa6843d4b95bbb9eed04a9fb80503b9bc7f13bdbea12e922294b,234cc00eeb85ab93698e92d5c7a8dc6dae5781113bb00f7f366e32df9686e469,504caef6108edf104e22cff547ff1b38442c3e92eb686ff0118937d9b7b16759,csi500,4,gpt-5.4,baseline,2026083003,evidence,full,250,250,250,0,28d81ac7aeb837f07b86a83af69d871356273f82fd36cb121db7a730ff9ae361,3.005023344833511,-4.609228656328957,-7.001922415796598,7660,3143,0.0,0,80.8524968624115,4,2010,2016,2017,2022,2023,2025,-0.012498303685812112,-0.01535814873686143,-1.7867426012030612,-4.609228656328957,-0.24815675799523831,-3.726718483663109,-0.817809415753054,0.5430720061028413,0.07461124402751687,0.005627820786481239,0.01680250004073034,1.4155367177535123,2.3926937594676403,-0.12709846765783936,-1.6588840803189429,-0.32035862100435164,0.4778682909491989,0.08114097083732384
complete,exploratory retrospective semantic-prompt pilot - baseline arm - execution smoke only,exploratory,csi500__origin4__gpt-5.4__2026083004__evidence__full__M250,0ade13cb43b3aa6843d4b95bbb9eed04a9fb80503b9bc7f13bdbea12e922294b,234cc00eeb85ab93698e92d5c7a8dc6dae5781113bb00f7f366e32df9686e469,504caef6108edf104e22cff547ff1b38442c3e92eb686ff0118937d9b7b16759,csi500,4,gpt-5.4,baseline,2026083004,evidence,full,250,250,250,0,961a053169449e38c118f3a2326fac18652750e626234e1d623b6e73a0b38149,3.33005874968363,5.968026185521452,5.595708743332124,9015,3762,0.0,0,85.70677590370178,4,2010,2016,2017,2022,2023,2025,0.01896760308648485,0.0159972364895272,2.3134731265988964,5.968026185521452,0.11096207193315005,2.1210533409811143,-0.060321407567475394,0.22306251503783472,0.04452151281957051,-0.003774460420902918,0.0023063909033629623,0.2202659692631643,0.372317442189328,-0.05391196226131132,-0.7454415162242952,-0.17466726641428243,0.196910685290479,0.0697139177245863
complete,exploratory retrospective semantic-prompt pilot - baseline arm - execution smoke only,exploratory,csi500__origin4__gpt-5.4__2026083005__evidence__full__M250,0ade13cb43b3aa6843d4b95bbb9eed04a9fb80503b9bc7f13bdbea12e922294b,234cc00eeb85ab93698e92d5c7a8dc6dae5781113bb00f7f366e32df9686e469,504caef6108edf104e22cff547ff1b38442c3e92eb686ff0118937d9b7b16759,csi500,4,gpt-5.4,baseline,2026083005,evidence,full,250,250,250,0,f82857cd8c51a3aaf957f277e23a3d95a563a839d0dfc1304eddbfcf2cf4d700,13.835172748281385,0.5960121247187796,-2.6966085718096724,8667,3577,0.0,0,86.33794903755188,4,2010,2016,2017,2022,2023,2025,0.002521464169050341,0.0018364917548875325,0.23104088199363854,0.5960121247187796,-0.02724509737877748,-0.47221740780653937,-0.27521127368049936,0.2691506693407027,0.05898884508779499,0.006847508409451907,0.02314461008825045,1.9479406736147349,3.292620696528452,-0.03882951002277247,-0.5173805754110989,-0.18544098168384526,0.21959561395148436,0.0793511833667415
